isHate;comment
0;"im from venezuela and i want to be a canadian or american citezen be cose here in poor country our salary is 20 time lower then lower salary in canada for example is all about money. i dont care what u think about imagrant i dont care what  u religion is i want just work and get a car a house.<br />in my country i will spend 20 years to buy a car for example.  and those people who say &quot;why u dont stay and made u country a rich country&quot; nooooo idiot becasue your rich country made my country a poor country. my dream is go to canada or usa and work i donk know driven a taxi. why people is mad about imigrant? because you are ass lazy thas why bye. go immigrants .the world has no bordersï»¿"
0;Why do they even number these 1-16 when most are the same things i.e dash, trunk, etcï»¿
0;damn Daniel back at it again with the migrationï»¿
0;hope Donald Trumo doesnt see thisðððð¶ï»¿
0;"bitch I&#39;m proud to be Mexican IDC what anyone calls meï»¿"
0;"<a href=""http://www.youtube.com/watch?v=nUzbZI_0p5g&amp;t=2m46s"" class=""ot-anchor"">2:46</a> why are you showing Rome, Italy, talking about Bali? that&#39;s Piazza di Spagna, via Frattina is on the right.ï»¿"
0;dude like every title is the same. just like, dont do titles when thats the case lolï»¿
0;Why does this video keeps reminding me of Donald Trump..?ï»¿
0;Aliens.....<b>thinks if aliens are real or not</b> I thought aliens were fake o-o does that make us aliens? Since Americans are not allowed in some places?ï»¿
0;These are all the same. How did they find them?ï»¿
0;aliens really Mexicans are people too.ï»¿
0;"subscribe to have a good day! if you don&#39;t you&#39;ll have 10 years of bad luckðï»¿"
0;Aliens?!?!?ï»¿
0;hdidng in a trunk WOWE!11 THATS CURRAYYYYZEYYYY!!!!!!!!!!!!ï»¿
0;The men all go to the length to get the military uniforms and everything, but all have the same last name. What the fuck?ï»¿
0;I was hoping for some crazy shit not all the places in a car you can hideï»¿
0;LMBAllsO... Nice twist on the SAAAAame ole sht hella timesï»¿
0;They deserve itï»¿
0;What has this country come to ?<br />None of these people are accountable for their behaviour. How can you attack someone like that when his family are there . I genuinely believe karma will catch up with these savage beasts .ï»¿
1;These sandniggers need to die!ï»¿
1;Animals!!!!!!!!!!!!!!!!!ï»¿
0;Where is this??ï»¿
1;that stupid fat lady is in charge,no wonder they got their country fucked.ï»¿
1;Send the Savages back home!ï»¿
0;"This is why these people need to be deported. They can&#39;t attack people for not supporting their views.ï»¿"
1;he should have put some nigger brains on the pavementï»¿
1;"He had a gun - why didn&#39;t he use it???ï»¿"
0;"where&#39;s thisï»¿"
0;Maybe we should give them Sharia law. Impose it upon them ruthlessly. As they want to do to us.ï»¿
0;Support hillary clinton if you want this happen to youï»¿
0;"Teenage Afghan immigrant is arrested in Germany after the 19-year-old daughter of a senior EU official was raped and murdered while out jogging<br />Maria Ladenburger was found in a river in Freiburg, where she studied <br />A single strand of hair was found and matched to the migrant suspect <br />He was identified by a single strand of dyed-blond hair at the scene <br />According to police, he has confessed and will go to court next year<br />It has stoked anger against Angela Merkel&#39;s open-door immigration policy<br /><br /><br />Read more: <a href=""http://www.dailymail.co.uk/news/article-3998478/Teenage-Afghan-immigrant-arrested-Germany-murder-medical-student.html#ixzz4RrtnxDPB"" class=""ot-anchor"">http://www.dailymail.co.uk/news/article-3998478/Teenage-Afghan-immigrant-arrested-Germany-murder-medical-student.html#ixzz4RrtnxDPB</a> <br />Follow us: @MailOnline on Twitter | DailyMail on Facebookï»¿"
1;The fat guy should have kept his rifle on him and as soon as one of those Muslim scum bag terrorist steps into his property Bang! Shoot that fucker in the head and say he was trespassingï»¿
0;The gun was a good idea I thought.ï»¿
1;Fat white cuntï»¿
0;"Does someone say &quot;nazi scum&quot; at <a href=""http://www.youtube.com/watch?v=WAeyOp_INUI&amp;t=1m09s"" class=""ot-anchor"">1:09</a>??ï»¿"
1;They are not even Muslims you fucking liarï»¿
1;support from Bulgaria against muslim emigrantsï»¿
0;Cars, cars, cars, cars...ï»¿
0;"The &quot;Read Full Transcript Here&quot; link does not send me to a site with the full transcript.ï»¿"
0;"It wasn&#39;t the Chief Rabbi of israel, it was a colonel-rabbit and not in official capacity. Also he didn&#39;t say it directly, he just implied that it might not be forbidden by the Talmud. Not surprising, since the source is 3000 years old. but Zizek misses all the nuance for shock effect.ï»¿"
0;"Agree with what he&#39;s said. But what are the solutions to the problems he&#39;s pointed out? <br /><br />Migrants from different cultures won&#39;t place any legitimacy on progressive values if they are touted by Western liberals. The clear solution is to support a progressive version of Islam - a change from within their own communities - as opposed to the salafism that the West has indirectly advocated for in its support for dictatorships (in opposition to Arab nationalist democracy) in the Middle East <br /><br />(inb4 anyone pulls the &#39;blaming the West for everything&#39; card, we have to realise that blame goes in every direction and no direction - it lies as much (probably a bit more) in the policies of Arab royalty as it does in Western powerholders).ï»¿"
1;"&quot;Their way of life.&quot; There should be no emphasis on this phrase what so ever. We abide to universal principles of human rights and law that is blind to the origins, wealth, race etc. and is designed to follow universal principles of right and wrong. These are not some &quot;western culture&quot; specialties, these are mankind achievements, following the path of logic and instilling justice wherever they are applied. Common justice, not some special &quot;western&quot; justice. I object against the term &quot;western culture.&quot; It is common culture that western countries managed to apply best! The second we make any compromise is the second we succumb to savages following primitive tribal law mixed with religion. They want to live in our society, they must abide to its principles fully! The division is there not because we donÂ´t &quot;respect&quot; their inferior culture (there should be no respect at all from our side, we are not emigrating to their lands, only mindless socialists can think that every savage from desert tent is culturally our equal), but because they donÂ´t respect our culture. The culture of the land they emigrated to! <br /><br />Any country following their notion of justice, that is not floating on oil, is a shithole!ï»¿"
0;this guy has a serious problem to express himself in a clear and straightforward way... he speaks a lot but most of the time without a meaning or objective to conclude his thoughts. and it is not a problem of his accent or just a intrinsic characteristic of philosophy...ï»¿
0;"I&#39;m no expert on this topic but I&#39;ve tried to learn some and I just have one question, which is, in Europe haven&#39;t all crimes been going up? like rape, theft and beatings? and violence towards gays. The middle east has a very different set of &quot;do&#39;s and don&#39;t&#39;s&quot; and they should have to abandon their old ways if they&#39;re to live in a place that doesn&#39;t have the same.ï»¿"
0;Good thinking Slavoj thanks for yet another explanationï»¿
0;"<a href=""http://www.youtube.com/watch?v=s5PigZzSAJo&amp;t=9m39s"" class=""ot-anchor"">9:39</a> - &quot;Only the poor countries are invaded by them [refugees].&quot;<br /><br />I wonder if this was just a slip of the tongue...ï»¿"
0;PURE IDEOLOGYï»¿
0;ï½ï½ï½   ï½ï½   ï½ï½   ï½ï½ï½   ï½ï½   ï½ï½ï»¿
0;"Well yes, we&#39;re living in an age of transgression. Things that were unacceptable are tolerated these days. I believe it was Plato who said the majority of people aren&#39;t &quot;philosophical&quot;, and so are operating off &quot;base&quot; appetites. With the internet these &quot;appetites&quot; are more easily sated, and so begins the downward spiral IE: You get access to more food, so you eat until you&#39;re full. You need more food the next time to get full. Same goes with sexual fantasies (traditional gets boring, might go into kinks (bondage, furry, DDLG, diapers, etc), and other &quot;materialistic&quot; self-pleasuring things. It&#39;s not like this wasn&#39;t predicted. The only question remains is that how to we fix these decays of values so that it doesn&#39;t further transgress societies?ï»¿"
1;The West is going to be fucked up taking refugees from middle east. They fucked their countries and are going to fuck your countries.ï»¿
0;To be fair, <br />Saudi Arabia has taken refugees though they have been very selective.<br />and<br />The IDF rabbi who said that (rape was non-criminal during war), did clarify that he meant it was something had historically taken place, not something that was acceptable.ï»¿
0;"The second anyone tries to use guilt to agree to something you&#39;re uncomfortable with, for example letting a million refugees into your country, then you should understand you&#39;re being emotionally manipulated. This communist speaks in favor of refugees for all white eastern European countries except his own.ï»¿"
0;But you still ignored question âwhy are they comming?â. And another one âwhy are they mostly male in military age?â. Or maybe you did answer by saying âmuslim fundamentalismâ?<br />Anyways,great talk,as always. Thank you, guys.ï»¿
0;Why does he always have a cold?ï»¿
0;"Yeah - - but wait - - this &quot;conspiracy theory&quot; is concrete - I wouldn&#39;t even say it needs conspiracy or theory - it seems like a reasonable and accurate description of what is actually going on (with the one caveat that Soros is the money-man - it could be others like him or just him or him plus some other people) How is Soros funding BLM  humanitarian? I see it as a way to use black Americans as tools to corrupt/undermine American democracy. A nearly perfect mirror of what is happening in Europe. You cannot tell me that if you know the definition of hijrah - that this immigration cannot be weaponized - and not violently even- through attrition and political/economic war - First Muslim mayor of London - completely bankrupt nations within the EU etc. No - the terrorists and the Jew do not even have to be in direct communication much less collusion - the Jew can use the Muslim as a useful idiot (in the same way the Muslims themselves use each other as useful idiots with the suicide bomber) The second blackmail is the &quot;condition of potentiality&quot; for the first. If their were no bleeding heart liberals there would be no right wing response to Muslim immigration because it was the liberals that allowed the Muslims to come (with Merkel actively inviting them with almost no oversight or strings attached) Furthermore the liberals tend to be better educated and more wealthy than the conservatives - which to me means the liberals have had more time/exposure to the ideology of the Frankfurt school and the resulting philosophical position of Cultural Marxism which is all created by mostly Jews with the explicitly stated goal of trying again in a different way what had failed in USSR - namely, the leveling of all people based on economic differences &quot;all people are economically speaking exactly equal&quot; This failed - so the Frankfurt School thinkers (Jews) went to California and came up with the idea of Cultural Marxism in which all cultures are to be perceived as equal - meaning that some Brazilian rain forest tribes culture is equal to that of Japanese culture - and the final point - because the idea of &quot;race&quot; is a creation of culture - and since all cultures are the same - Presto! all races are equal! But these are all lies of course because races create cultures, cultures do not create races - and obviously some cultures are superior to other and by implication some races are better than others (this concept is Social Darwinism and it was the majority belief in the Second Reich leading into WW1 at the time that revolutions in Russian were establishing the (what would become) failed system of mankind being economically made equal. Hundreds of thousands? Ha! try several million! What about Somalis and Sudanese and Eritreans then - when was the last Western intervention there? Yeah but the thing is - all these big countries fucking the local farmer in the Middle East are also fucking the small farmer in their own countries. Yes but wasn&#39;t this situation in Congo almost exactly the same situation which the Portuguese slave-traders found in Africa so long ago? Did not local African warlords pick the Portuguese side and capture other tribes as slaves to sell to the Portuguese - has the situation changed that much? The potential of this situation would have existed if the Portuguese had never sailed to Africa. There are 30 million slaves in Africa RIGHT NOW and Saudi Arabia is one of the earliest and currently practicing slave-trading nations in the world. Yet Saudi Arabia takes no refugees from either Africa or Middle East - - how convenient - - that must mean that Europe is taking in Saudi-Arabias share of the refugees  - - oh yes too Israel is no haven for African or Middle Eastern refugees - if the Israeli plot to send Muslims on to Europe then turning them down in Israel makes perfect sense - nothing to see here keep moving north. A huge chunk of Middle East refugees is being held in Turkey (3 million) - and the EU writes checks to Turkey in high amount and often in order to keep them there. And also, I won&#39;t get into it now - do you know how many UN laws are by the time a Somali immigrant sets foot on Swedish soil? Yes there is Arab fault too! Think of it this way - - it would be as if on D-day whatever the amount of English/US soldiers who took the beaches - twice that many German refugees crossed into England - <del>and that number would increase more and more as the Allied forces enjoyed more and more success on the battlefield - - except even worse - - they are Muslims - - so much more difficult to assimilate. Also he is misusing the word Arab - - -not only are there Arabs, there are also Turks and Persians (Iranians) and among these the major groups there are dozens and dozens of sub-groups both infighting and fighting each other. They are the only countries in the region who can afford to keep them out - it is precisely because they are wealthy that they have not taken refugees Why does he not mention the fact that Sweden is now the &quot;rape capitol of the world&quot; He leaves out the most violent situations - - I think ultimately to shield the refugees from the damage they are doing to European culture - - I think that it must be obvious that the Muslims are having a much more deleterious effect on European culture than European culture is having on Muslim culture. Talking about the veil shit when there was a report from Germany about the father of a twelve year old German girl that was in a hotel room with 5 or so Muslim men who were in the act of raping her (again) as the German police arrested him in the lobby of the hotel. I don&#39;t remember what happened to the 5 Muslim guys - - but I do know they were not publicly hanged. The girl is now sterile. I do not rally care about an &quot;open public debate&quot; about this rape case (among numerous others) it is by default something not to be discussed - Zizek even says the same thing about Holocaust deniers - - if you even allow them a place at the discussion table you have already lost</del> - such/people things disqualify themselves automatically from being conversible 10 or 20 years? How about the next election? There are so many things these Muslims have done that fit the bill of no discussion necessary - his idea of talking about it publicy (painfully) is already too late - - the open public debate should have been the one between the European politicians and the European public as to whether this level of immigration was condoned by the majority in any given nation which has been so horribly impacted by the immigration policy about which they were not able to participate in an open public discussion. After that debate never happened any subsequent ones are only farces of democratic decision. The liberals created a problem that only they can solve (or at least that is what they will say next election time) If WW1 was Imperialism turned back at Europe and WW2 was a vengeful addressing of grievances created by the West treating defeated Germany as a pseudo-imperialist territory then isn&#39;t also true that women&#39;s rights gay rights etc (identity politics) will one day in the West start deteriorating also as it becomes apparent that the West is engaged in a neo-colonial enterprise with its own citizens? Isn&#39;t neo-colonialism the economic exploitation of all potential &quot;workers&quot; globally - and isn&#39;t a nation&#39;s own people to be lumped into the global - does the government of a people in late Capitalism not also neo-colonize them as well - at least eventually? Destroying local ways of life? Isn&#39;t that the fundamental reason Trump won? By recognizing the destruction of local ways of life in America due to globalism-late Capitalism- neo-colonialism?ï»¿"
0;"You can&#39;t have a secular, liberal society if you let in a bunch of religious, authoritarians. Either the new comers will destroy everything or your society will lose its identity fighting them.ï»¿"
0;"Ideology doesn&#39;t even have to be part of the discussion. The sheer number of illegal immigrants entering Europe imposes such a high cost on the European people that it is impractical to provide them with an adequate standard of living or for European governments to continue providing for their citizens.ï»¿"
1;Fuck every single muslim, good or bad.ï»¿
1;i like dead refugees on my shoreï»¿
0;Your videos are good m8 but this one is poorly done...ï»¿
0;"&quot;A Muslim continent is neither new nor reason to be afraid&quot; whoa! Hold your horses there &quot;educational&quot; video. Trying to persuade me with throw away statements that are clearly not true.ï»¿"
0;we need to ban religon and we can start with the most hated....ï»¿
0;And then there was the Paris attacks and Bastille day.ï»¿
0;Everything you said would only work in a perfect world. Alas, the world is far from perfect. Turkey was a safe and beautiful nation that was known for tourism 5 years ago. It took in 3 million refugees and now there is an attack every other month. Look at the crime rates in Sweden and Germany before speaking.ï»¿
0;this comment section is scaryï»¿
0;or we can destroy ISIS and take the oilï»¿
0;You do realise that most of refugees come from turkey?ï»¿
0;"I love when ignorant Europeans love to cite the fact that the majority of the refugees are not from Syria, as though this is some kind of fallacy in the argument for letting them come in..  The economies of a lot of north African/other Middle East states are shit, and many of these people are simply economic refugees..  That part of the world is experiencing environmental stessors that are causing droughts, which damage the land&#39;s carrying capacity and this obviously also affects the economy; all of this contributes to the people there wanting to move to literally greener pastures..  The history of the world is nothing but people migrating through time..  Modern Europe went through so much demographic shifts over the centuries..  This is nothing new..   The Huns apparently originated somewhere in or around Mongolia, and began their westward trek after being oppressed by a rival ethnic group that came to power..  and so they decided to migrate thousands of miles to the west..  Undoubtedly, I am sure their ethnic makeup changed during this travel, as they picked up some and lost others, before reaching Europe..  But still, modern Europe, USA and the world has been nothing but a melting pot of people on the move forever..  This xenophobia thing is an interesting illusion..  However, I will defend that &quot;us vs them&quot; mentality, when there is a legitimate aggressor and oppressee(i guess that is how one would state that..).  For example; the Inca revolt against the Conquistadors..  <br /><br />On another note..  well, that is enough for now..  I could ramble on for hours on the nature of group identities in a world of shifting populations..  I&#39;ll write up a paper, fleshing out my thoughts on the whole subject someday; all sides and viewpoints need to have their feet up to the fire, so to speak..ï»¿"
0;"I don&#39;t agree with tbe sentiment that all human life is worth the same. Humans within your own nation should come first. For example, I absolutely hate how much we donate to othe countries when there are starving children right here in our neighborhoods. It sounds heartless, and frankly it is, but we must do everything to strengthen and preserve what others in our nation have lived and died for, before we dedicate resources and time to those whom we have no ties to.ï»¿"
0;the fact of it is only a very tiny portion of the refugeees are from syriaï»¿
0;biased as fuckï»¿
0;at moments  like this where  i know that wishful thinking  is useless  i wish i was a president  of a country  with economy  strong  enough  to  help out...also i am the last person  to be a president  considering  my psychological  state  and other stuff  , but yeah...i feel so helpless  right  now  ...ï»¿
0;"In reality it is way more complicated than stated in the video. We know how Kurgesagt makes that idea of &quot;we should strive for better&quot;. Thing is, words don&#39;t make actions. And you have forgotten how corrupted some of these countries are and Mostly Bulgaria as a Border country. So take that into consideration.ï»¿"
0;"When will humanity stop being so dumb and unificate? there&#39;s only good things coming out of this if europe accepts the refugees, not only what he said on the video, but this would actually rise the diversiveness of cultures and inspire respect between them, differently of the old people who usually supports people like trump, or some random 12 year olds who just don&#39;t know any better.ï»¿"
1;"I&#39;m all for helping ppl, but lets not build mosques, we have enough problems with our religious nuts, we don&#39;t need moreï»¿"
0;I live in Turkey And Turkey has 3 billion refugees and they are stayed at parks and they are not work and one syrian family has 10 member but they need help But Turkey is helpfull country i love my countryï»¿
0;"I am Jordanian, and my country&#39;s population has gone up 25% due to refugee influx. To me it is sickening to see such countries refuse to host the refugees, it is inhuman and cruel. To see that animal and pets and taken care of and given a shelter and kept warm, fed, while there are humans freezing and starving to death. What has this world become????!!ï»¿"
1;islam is the deadliest parasite on humanity.ï»¿
1;Oh yes merkel letting a hoard of 7th century backward savages into  Germany to mix with one the most civilized advanced peoples in the world,that is definetly going to workï»¿
0;I will not let them into my country....Poor Germans..how they accepted ?ï»¿
1;Weak Europeans are doing it to themselves and then they LL ask us to save them again just like in ww2ï»¿
0;"If these refugees come to China they won&#39;t survive.ï»¿"
1;Kick those bastards out and never to return. Cast out the islam!!!!!ï»¿
1;Germany you can just hire 17 farmers from like North Carolina and give them shotguns and the refugees will be on their way home within a week.ï»¿
0;German women need to carry guns like us American women.ï»¿
1;To speak the truth is never racism, no matter what anyone say? <br /><br />STAND UP FOR THE TRUTH,  OWN COUNTRY, OWN PEOPLE AND KICK THE GARBAGE MUSLIM/NEGRO MALE OUT NOW!!! MEDIA AND MUSLIMS ARE COWARD FILTHY SUPER  UGLY LIARS AND TRAITOR!!ï»¿
1;fuck  Muslimsï»¿
0;"Goodness gracious, i&#39;m from the Middle East and haven&#39;t seen that many ruffians in my life. Wake up Germany, you need to fix this.ï»¿"
0;"look how they are dressed they&#39;re not bum clothes they&#39;re wearingï»¿"
1;Dumb ass liberals look at these refugees like they are their petsï»¿
1;"If he didn&#39;t have that gun he would have been killed with that shovel yet he doesn&#39;t shoot the scum so they can kill the next white person they find. RIP France.ï»¿"
1;Come on you cowardly Frenchmen, waste those motherfucker included gypsies and your motherland will be peaceful again. Fuck those hypocritical liberalists, they are the spies of evils and crimes, whose let those pests get into to your great country.ï»¿
1;He shoulda shot every single one of them.ï»¿
1;Muslim dumb assï»¿
1;kill that shit headï»¿
0;Still the FrenchieÂ ran away...like always.ï»¿
1;That guy still would of lost with the gun if he got bum rushedï»¿
0;Fake title , those are french gang against the police way before the immigrants wave. Idiot !ï»¿
1;kill these parasites please.ï»¿
1;this peoples are filty pigs islamics go home.ï»¿
0;your president should be booted out of office immediatelyï»¿
0;sponsored by auping hahahahahahaaï»¿
0;"Looks like the movie set of an apocalypse zombie movie. Fake shit and piss are too expensive, we&#39;ll use the real stuff. So sad.ï»¿"
1;Jew world order and filthy third world Muslims.ï»¿
0;This video was already debunked it is supposedly the aftermath of some festival.ï»¿
0;they are turnin it into the middleeast and africaï»¿
0;Let them clean up after themself.ï»¿
1;and this is why europe is getting more right winged with the years. we are tired of it. enough is enough. <br />there will come a time that these raping basterds will be afraidï»¿
1;"If they set foot in N.Ireland they won&#39;t know what hit them! We WILL join together &amp; throw them into the Irish Sea. Fuck them all! Send them to scummy Saudi Arabia where they belong!ï»¿"
